seconds,time,air,beans,air_sp,power,power_sp,speed,coolfan_speed,stirrer_speed,pressure,pressure_fan_speed,pressure_sp,ror,ror_f,computed_air_ror
0,00:00,178.7,173.2,180,10,11,50,61,15616,99,19,100,1.4,26,-1.8
1,00:01,178.8,173.2,180,10,11,50,61,15616,96,19,100,5.5,99,1.9
2,00:02,178.8,172.3,180,10,11,50,61,15616,94,19,100,6.7,120,4.2
3,00:03,178.5,170.7,180,10,11,50,61,15616,94,19,100,2.2,40,4.3
4,00:04,177.9,167.4,180,10,11,50,61,15616,101,19,100,-8.1,-145,1.8
5,00:05,176.8,164.4,180,10,11,50,61,15616,103,19,100,-23.2,-417,-3.6
6,00:06,175.3,160.9,180,11,11,50,61,15616,95,19,100,-42,-757,-11.6
7,00:07,173.6,157.2,180,11,11,50,61,15616,93,19,100,-62.4,-1123,-21.2
8,00:08,173.6,157.2,180,11,11,50,61,15616,93,19,100,-62.4,-1123,-21.2
9,00:09,171.7,153.3,180,11,11,50,61,15616,93,19,100,-80.2,-1444,-31.2
10,00:10,169.6,149.3,180,11,11,50,61,15616,94,20,100,-94.3,-1698,-40.8
11,00:11,167.4,145.3,180,11,11,50,61,15616,94,20,100,-105.2,-1893,-49.1
12,00:12,165.2,141.3,180,11,11,50,61,15616,94,20,100,-112.7,-2028,-55.6
13,00:13,163,137.4,180,11,11,50,61,15616,95,20,100,-117.1,-2107,-60.2
14,00:14,160.8,133.5,180,11,11,50,61,15616,96,20,100,-119.4,-2149,-63.2
15,00:15,158.6,129.8,180,11,11,50,61,15616,96,20,100,-120.1,-2161,-65
16,00:16,156.4,126.1,180,11,11,50,61,15616,96,20,100,-119.2,-2145,-65.8
17,00:17,154.2,122.6,180,11,11,50,61,15616,95,20,100,-117.2,-2110,-66
18,00:18,152.1,119.3,180,11,11,50,61,15616,97,20,100,-114.7,-2064,-65.8
19,00:19,150.1,116.1,180,11,11,50,61,15616,98,20,100,-111.4,-2005,-65.1
20,00:20,148.2,113,180,11,11,50,61,15616,98,21,100,-107.5,-1935,-63.8
21,00:21,145.8,110.1,180,11,11,50,61,15616,98,21,100,-98.9,-1781,-63.3
22,00:22,144.1,107.3,180,11,11,50,61,15616,99,21,100,-94.3,-1697,-62.3
23,00:23,142.4,104.7,180,11,11,50,61,15616,99,21,100,-89.8,-1616,-60.9
24,00:24,140.9,102.3,180,11,11,50,61,15616,100,21,100,-85.3,-1535,-58.1
25,00:25,139.4,99.2,180,11,11,50,61,15616,99,21,100,-80.7,-1453,-55.5
26,00:26,137.9,97.1,180,11,11,50,61,15616,101,21,100,-76.4,-1375,-51.7
27,00:27,136.6,95,180,11,11,50,61,15616,101,21,100,-72.2,-1300,-48.3
28,00:28,135.3,93.1,180,11,11,50,61,15616,101,21,100,-68,-1225,-45
29,00:29,134,91.4,180,11,11,50,61,15616,99,21,100,-63.9,-1151,-43
30,00:30,132.9,89.7,180,11,11,50,61,15616,98,21,100,-60.2,-1083,-41
31,00:31,131.8,88.2,220,11,11,50,61,15616,99,21,100,-56.3,-1014,-38.9
32,00:32,130.8,86.7,220,11,11,50,61,15616,100,21,100,-52.7,-948,-36.7
33,00:33,129.9,85.4,220,11,11,50,61,15616,100,21,100,-49.1,-883,-34.5
34,00:34,129,84.2,220,11,11,50,61,15616,101,21,100,-45.8,-824,-32.3
35,00:35,128.2,83,220,11,11,50,61,15616,99,21,100,-42.5,-765,-30.1
36,00:36,127.5,81.9,220,11,11,50,61,15616,100,21,100,-39.5,-711,-28
37,00:37,126.8,80.9,220,11,11,50,61,15616,101,21,100,-36.6,-658,-26
38,00:38,126.1,80.1,220,11,11,50,61,15616,101,21,100,-33.9,-610,-24.2
39,00:39,125.5,79.2,220,11,11,50,61,15616,101,21,100,-31.3,-563,-22.5
40,00:40,124.8,78.5,220,11,11,50,61,15616,99,21,100,-28.8,-518,-21.4
41,00:41,124.3,77.8,220,11,11,50,61,15616,99,21,100,-26.4,-476,-20.1
42,00:42,123.9,77.1,220,11,11,50,61,15616,101,21,100,-24.2,-435,-18.9
43,00:43,123.5,76.4,220,11,11,50,61,15616,101,21,100,-22.2,-399,-17.3
44,00:44,123.1,75.9,220,11,11,50,61,15616,100,21,100,-20.2,-364,-15.8
45,00:45,122.8,75.5,220,11,11,50,61,15616,100,21,100,-18.4,-332,-14.1
46,00:46,122.4,75.1,220,11,11,50,61,15616,99,21,100,-16.6,-299,-12.6
47,00:47,122.1,74.7,220,11,11,50,61,15616,101,21,100,-15,-270,-11.4
48,00:48,121.8,74.4,220,11,11,50,61,15616,100,21,100,-13.3,-240,-10.7
49,00:49,121.6,74.1,220,11,11,50,61,15616,100,21,100,-11.9,-214,-10
50,00:50,121.3,73.9,220,11,11,50,61,15616,101,21,100,-10.5,-189,-9.4
51,00:51,121.1,73.7,220,11,11,50,61,15616,100,20,100,-9.2,-165,-8.6
52,00:52,120.9,73.6,220,11,11,50,61,15616,101,20,100,-7.8,-141,-7.8
53,00:53,120.8,73.4,220,11,11,50,61,15616,101,20,100,-6.7,-120,-7
54,00:54,120.7,73.4,220,11,11,50,61,15616,100,20,100,-5.5,-100,-6.2
55,00:55,120.6,73.3,220,11,11,50,61,15616,100,20,100,-4.5,-80,-5.4
56,00:56,120.5,73.2,220,11,11,50,61,15616,100,20,100,-3.5,-63,-4.7
