"publishedDate","title","text","rating"
"2024-01-07","Rude people with elder man ","Really rude people on the counter, they bully an elder man because was sit on a place that was not supposed to be for sitting! Wtf ","1"
"2023-12-06","No te permiten entrar en el baño siendo cliente","Una porquería de servicio , los camareros muy antipáticos y hablando de malos modos,  aún consumiendo en el local para ir al baño el camarero nos mandó al centro comercial de  enfrenté.  ","1"
"2023-11-17","Pausa caffè","Per me che sono un amante dell’espresso, il caffè bibitone americano non è il massimo. Buona la brioche, utile come merenda per ricaricare le pile durante le lunghe camminate in città. Gentile il personale. ","3"
"2023-10-06","cappuccino da passeggio ","non potevo non provare anche lo Starbucks a New York , avendo provato altri punti analoghi nel punto . è quello che ti aspetti , ho trovato ancora piu' caro del solito , rimango  sempre stupito dal Frappuccino e dal successo che ottiene. cmq colazione nella media come qualità a NY, servizio veloce, aria condizionata da Polo Nord . Cappuccino da passeggio ! scontato nella media ","3"
"2023-09-04","Meglio il Chai del Matcha","In questa vacanza ho evitato questa catena (qui a NY ce n’è una quantità esagerata) cercando di privilegiare locali più caratteristici o del posto. Unica eccezione quando, zona Battery Park, ho avuto voglia di provare il Chai Latte. Devo dire che lo preferisco al Matcha Latte.","3"
"2023-08-15","Colazione a New York","Code infinite per cappuccino e brioche .Disorganizzazione per preparare la gestione degli ordini da app……….40 minuti per un cappuccino e muffin pazzesco!!!!!!","1"
"2022-09-25","More than coffee ","Not a coffee drinker so it was nice to discover that Starbucks does more than coffee.

They've got these cool drinks call freshers and the passion fruit, pineapple and lemon blend is yummy.  It comes with tiny pieces of pineapple too.","5"
"2022-09-13","Slow and very rude attention to customers","We attended STARBUCKS STORE 0778 on our way back from visiting the Bull of Wall Street. As regular customers of Starbucks, we stopped at this store 0778 for a drink and something to eat. Our order was taken and paid for, and it was until minutes later that I was told that they were out of the banana cake we had ordered. Why didn't she find out about it before charging us for it? Anyway, in order not to make any troubles, we ordered a different cake. Many minutes went by and neither of our drinks were being made. The 3 workers were talking, joking, and laughing among them, and only one of them was wearing a mask properly covering her mouth and nose. The other one had the mask on her chin, not covering neither her mouth nor her nose. And the third one wasn't wearing one at all. What about not talking while preparing our drinks? Where did all the Starbucks training go to (down the drain?) ? 
Just when she started to make one of the drinks, some 20 minutes later, she told us they had ran out of strawberries. Again, was it so hard to have checked about the lack of strawberries before charging for it? 

When we finally received our food and drinks, I rushed to our table to enjoy them with my party. We were eating very fast because we knew we had go somewhere else, and were actually delayed by the slow service we had gotten there. It is easy to check on the cctv (if they had one) that we weren't on purpose delaying our departure, but one of the workers told us it was closing time and we had to leave their store. I showed them the food still in my hands to prove to them that we were almost done eating and drinking, and explained to them (now there were 2 employees telling us to leave) that the reason why we were still there, was simply because they were talking and wasting so much time while preparing our order. The way we were treated was not polite at all. We told them we were never told neither about the closing time nor that we had to leave at a certain hour. Had she told us about those 2 things, I would have not bought anything there. Who wants to buy something to drink and eat inside, seating at a table, only to minute later being kicked out of the place? I can understand they were tired and eager to go home, but they were all still cleaning and getting the place ready. It is not as if they were there waiting for us at the door to lock up. I used to admire the excellence and efficiency of the training by Starbucks. Now I truly believe they have lost it.","1"
"2022-09-07","Great Location","This is a good place to get coffee and sit on Times Square and people watch. There is no lack of entertainment.","4"
"2022-06-29","There never disappoint ","I always love it here friendly staffs, great atmosphere, there never disappoint and the customer service is great even when they're crowded .","4"
"2022-04-16","Schlechter Laden","Typisch Starbucks, aber mit extremer Wartezeit und unfreundlicher Bedienung- aber wenn man seinen Kaffee morgens braucht kommt man wohl nicht drum herum..","1"
"2020-09-30","Molto carino","Locale molto carino e ordinato, ottimo per chi vuole spendere poco ma vuole una colazione o spuntino goloso. Comodissimo per il bicchiere di bevande da portare anche in giro.","3"
"2020-05-07","A Starbucks é uma parada obrigatória","A Starbucks é uma parada obrigatória em qualquer lugar do mundo. Para quem ama café como eu, passar em frente e não entrar é quase impossível. ","5"
"2020-04-28","Quick Coffee","While on a city break in New York I stumbled across this Starbucks and made sure I went their every morning after that!

Staff are amazing and gave me a discount for being ex-military also a great vibe in there!

Favourite Starbucks in New York","5"
"2020-03-29","vraiment pas top","un starbuck minuscule dans lequel on est serrés comme des sardines pour boire un café à 4 dollars largement coupé à l'eau chaude plus que mauvais .Il y a des endroits bien plus sympas pour boire un café à New York (comme les Paris Baguette )","1"
"2020-03-18","não é pelo café","Se vc gosta de um bom espresso ,um café forte tipo o brasileiro não é aqui, mas se vdc curte todo o resto, os frapuchinos mockachinos e  todos os outros chinos...ai sim. a grande maioria das lojas noa limpas, e qdo vc esta nas andando muito pelas ruas de NYC, isso é um diferencial, normalmente são sempre atenciosos, e se esforçam para atender e entender o seu péssimo ingles (no meu caso) então não da para falar mal. pq a experiencia sempre é o melhor. ah eu gosto dos chais.","4"
"2020-03-17","Breakfast every morning","While staying 5 days in NY went to this place every morning for breakfast (coffee and a bagel (everything bagel) with cream cheese. Really nice place, great sitting, great wifi and great service. A bit crowded in the morning but it's understandable as it was during weekdays.","4"
"2020-02-25","Endroit sympa ","Devant la pénurie de bon café aux alentours de Times Square, ce Starbucks était un bon refuge, une valeur ""sûre"" ","4"
"2020-02-13","Average Starbucks ","Good service and usual Starbucks quality. Toilet is a bit gritty though. Decent enough oat milk Latte :) ","4"
"2020-02-11","Fabulous","We were in a hurry popped in grabbed a coffee and a bacon roll, it was fresh and delicious I highly recommend","5"
"2020-01-05","Shabby setting, friendly staff","This is one of the shabbiest Starbucks I've ever been too.  The rest rooms would be at home at a rest stop.  But, the staff is friendly and helpful.","3"
"2019-12-25","Excellent latte","Very friendly and fast service. Matcha latte and cappuccino were do tasty and enought hot. They were just perfect. Clean place and nice athmospere.","5"
"2019-12-10","Ginger and frapuccino ","Delicious frapuccino and ginger coffee 
Surprise de cette boisson au gingembre nous n'avions jamais été au starbucks et ce fut une.bonne découverte même si la.prochaine fois on prendra des gourmandise aussi","4"
"2019-12-05","La cafetería más típica de","La cafetería más típica de todo USA. Te venden desde cualquier tipo de café a bolleria, bocadillos....
El único pero que le pongo son las colas que se forman siempre para poder pedir. Es algo terrible el tiempo que se tiene que esperar para que te atiendan","4"
"2019-11-17","Economico e soddisfacente ","Per chi non vuole spendere troppo e non ha tempo da perdere è ottimo: ampia scelta di buona qualità. Il personale talvolta è poco disponibile, ma l’afflusso di gente è veramente elevato. ","4"
"2019-11-10","Amazing service!!","Busy but super efficient, really customer focused staff, with a friendly and professional approach. Keep it going!!","5"
"2019-11-01","Its ok","You can find Starbucks in NY almost every block or two. I think they are the same all over the world, but one thing that didn't like in NY, is that there wasn't a bathroom in most of them.","3"
"2019-10-28","Colazione piacevole","Starbucks è noto per la famosa colazione che offre. Ho preso un cappuccino ed un Donat, entrambi squisiti. Lo staff è molto gentile e veloce nel servire. Consigliato ","4"
"2019-09-02","OK","This was a perfect place to sit and unwind on the upper West Side. A bagel and a well brewed cup of coffee hit the spot.","4"
"2019-08-23","Caffè da 6","Considerando che siamo in America tutti i bar Starbucks fanno un caffè decente, infatti ho preso questo come esempio perché ne abbiamo girati parecchi e tutti hanno lo stesso standard medio.","3"
"2019-08-05","Terrible coffee and service ","Man behind the counter was rude and arrogant . Unless you speak American forget it. He even went as far as threatening my friend . Don’t bother going . There are other coffee shops in town that serve coffee and get the order right . ","1"
"2019-07-26","Good coffee","We go in the Starbucks for the breakfast, have a good choose to coffee and tea. I return with all my friends!","4"
"2019-07-04","ok","I don't love very much the starbucks but everytime I go to NYC I have to. Nice service and muffins good","3"
"2019-07-02","Coffee Store","This is a good place to get your favorite specialty coffee drink to take away.  There are some things to eat and some places to sit.","3"
"2019-07-02","Starbucks is like the modern day cheers","No matter what city you are in, in the US you can always find a Starbucks and know you will get a great coffee or tea drink, a little snack and shelter from the cold or sun if you just need a few minutes and a caffeinated beverage to get your sightseeing back on track. Oh and most importantly, a restroom that can be used without buying anything.","4"
"2019-05-28","Petit...","Petit starbucks, un peu d'attente surtout quand ils t'oublient
Thé bon
Jus de fruit aussi
Peu de siège...et pas de toilettes","4"
"2019-05-11","An Average Starbucks","It´s one of the many average shops in New York. Most of them have an average outfit, not very new and not clean enough. Hard to say whether the staff numbers are to low or if it´s the individual speed??

My Latte and Lemon Tart were very good.

But upstairs there was one guest sleeping in a chair for at least an hour. No staff member did care.","3"
"2019-05-05","Starbucks toujours aussi bon","valeur sûre pour un chocolat chaud un cappuccino et pourquoi pas un iced tea ! 
superbe accueil, service rapide.","4"
"2019-05-03","Don’t Take It for Granted","It’s easy to forget how difficult it used to be to find a place in Manhattan to sit down to have a cup of coffee or bottle of water. Starbucks has been a life changer in taking time out in life. Some complain that the coffee is overpriced. But what we really pay for is the space and time to relax and take a break. ","4"
"2019-04-30","typique du réseau","voila un endroit ou il fait bon vivre avec des produits énergétiques de qualité dommage pour le wifi inefficace","4"
"2019-04-07","Very busy strore with fast service","I popped in on a sunny New York Sunday afternoon.  The store was very, very busy, but the team managed to work the many people well with hardly any wait for my fresh coffee.
","5"
"2019-03-31","Perfect hot tea","After seeing a show, while walking back to the hotel, we were so cold.   We stopped in to warm up with some hot tea.   Everyone was friendly and the tea hit the spot!","5"
"2019-03-30","Starbucks Rezerve real 5 stars starbucks","l've been to Starbucks R first in Milan. They opened it in the old and hudge Milan Post House.  l was really surprised for the decoration, the colours, the service, the food, the coffe machines, the coffe choises... When l was in NY l immediately visited this georgeus place. 
And everytime l'm in downtown l visit at least for a coffee. The service is very good and the coffe choises. You can buy lots of Starbucks souvenirs. And you can have your breakfast, lunch or dinner. 
l recomend you especially the pizza with eggs and asparagus... 
You have the bar or the tables to have your meal and sure your internet.
if you haven't been yet l tell you to go and be a good member of Starbucks Rezerve.","5"
"2019-03-19","trop  cher  !!!","5 dollars pour un café long c'est beaucoup trop !!! En plus, c'est le seul lieu où ils n'ont pas été particulièrement aimables....","3"
"2019-03-18","A Starbucks on every corner","Nice staff and great choice on coffee, hot chocolate, cakes, sandwiches and breakfast. In England we have a choice of fruit teas and I was missing that. But thats the only negative thing for me.  ","5"
"2019-02-24","Rico cafe para entrar en calor","Estamos en el mes de febrero y aquí llueve y nieva a menudo, esta es una buena opción para entrar en calor. El cafe es super rico y tienen varios tamaños para elegir. No es una opción económica pero esta genial! Para mi os recomiendo el cafe latte machiato con caramelo! Mi favorito! ","4"
"2019-02-19","just okay","Pretty much your standard starbucks but bigger and better than most. The ceo of the company is a bit too conservative in his politics.","3"
"2019-02-06","Starbucks EVERYWHERE!","If you don't know by now that Starbucks is the best coffee place in the world, then it's time you escape from your captivity. This place is delicious. Hold off on their food, it's not the best","4"
"2019-01-14","Semana de férias em NY","Serviço de boa qualidade seguindo o padrão das lojas starbucks. 
Particularmente o atendimento desta loja faz a diferença 

","4"
"2019-01-09","Igényes","Legfinomabb kávé a Starbucksban kapható és reggelizni vagy ebédelni is lehet az étel kínálat széles palettájáról!","5"
"2019-01-08","Now a Starbucks","It's Starbucks - it's in a prime spot in New York City, and it had my favourite lemon granola, as well as a festive pine flavoured latte, what can I say? Amazing.","4"
"2018-12-20","Coffee","Visited my bro in usa and had a quick coffee. People are professional and snacks are yummy. Cool decor.","5"
"2018-12-12","Great service","Stopped in for a hot chocolate; the barista was cheery, you could tell that she enjoyed her job. Service was fast.","5"
"2018-12-06","Ottimo per riposarsi","New York City è piena di queste oasi in mezzo al traffico e alla confusione. Il caffè e il cappuccino non sono certo il massimo per noi Italiani, tuttavia i locali sono utili per riposare le stanche membra, per espletare certe necessità e per il collegamento WiFi. ","3"
