"publishedDate","title","text","rating"
"2024-01-08","Un sueño absoluto para los amantes del café!","Situado al lado del mercado de Chelsea, a un costado de la tienda Apple.

Un local de 2mil metros cuadrados, tres plantas, color niquel, óxido y negro con diseño tipo industrial, en cuyo centro se encuentra un gigantesco molino de cafe. 

Dos cafeterías grandes y una panadería completan las opciones de comida y bebida. 

Ademas de una extensa y bien distribuida area de venta de tazas, termos y otros articulos.

El servicio es amable y a pesar de estar increiblmente lleno, fue rapido.  

Ademas de las bebidas frias o calientes, hay excelentes opciones de comida y postres.

El sfilatino de mortadela con pistachos esta riqusimo y el cheescake de frambuesa es una delica total!

Lo recomiendo absolutamente.","5"
"2023-12-28","Fire Stacey","Stacey is the worst arrogant cashier ever!
Terrible experience. she demanded that we wait in the long queue again even though we had already done so just because she is an arrogant woman","1"
"2023-12-09","Large Starbucks ","The place is cool and has a lot more options then a regular Starbucks. But there really isn't enough seating in there. The merch is different then a typical Starbucks. Your can purchase things with the Starbucks app but you can not redeem Starbucks rewards here. ","4"
"2023-12-05","The Nicer Starbucks...With The Higher Price Tags","Manhattan has coffee shops every few blocks, but you'll never go wrong with stepping in a Starbucks Reserve. The menu at this location is more expansive(and more expensive), and since we came in November, they had the Christmas-themed drinks on their own separate menu. The only reason I gave it 4 stars was that it was so busy we had to wait for a tabletop to open up. And it's a two level shop & roastery. They gave great service though, and offered bagged coffee for purchase from regions we didn't see offered in other Starbucks Reserve locations, even in Seattle. I had the espresso martini and the barrel-aged Oleato cold brew. My wife had the cold brew flight. We both enjoyed them. I also tried the brownie, and it was really good. My wife disnt enjoy here truffle flatbread though. Check it out if you're roaming around Manhattan.","4"
"2023-12-04","RUDE host in the cocktail area. AWFUL","After staying with family I wanted to visit here before I flew home. I was on my own. I wanted a cocktail so had gone upstairs. Don't know his name but the most aggressive and RUDE host/person I have ever met. And I'm a high school teacher from Scotland :) 

Our exchanges before I told him he needs a new job and shouldn't be allowed anywhere near the public: 

*I asked for a plug point as my iPhone 8 was low. He patronisingly told me that if I want a cafe like that to go elsewhere.  He walked away. 

*I asked for a menu but he told me it was a QR Code. And walked away. He was then equally rude to others that arrived. 

*I ordered an espresso cocktail and put my coat down at a table. He shouts from the bar - ""You're not sitting there and taking up all my tables. You're one person. Sit at the bar"". I was shocked. Tempted to leave but didn't. 

*I sit at the bar and a couple walk in, who are also told rudely they've to sit at the bar. I notice my seat has two together. Nowhere else did. I told them they can have my seat and I'll move to the end of the bar. I also didn't want to look at the host. 

I sit down at the end of the bar. He then shouts and gestures to me from quite a distance, ""What are you doing. Are you for real. Do you even want a drink!?"". No way.
 
At this point I said, ""You drink them and maybe look for a new job. Your attitude is horrendous. You are ruining people's experience."" He told me to walk on and get out. I asked him why he was in this job. He didn't look at me again. I then walked out. A few smiles from others sitting.

I was pretty shaken up, reported it to the manager downstairs. He was lovely and I did get my drinks and a complimentary cake but sat downstairs. I also met some lovely people next to me.  Reading some of the reviews, a crash course in customer service is required. 

A Scottish lass is a good match for a New Yorker....","1"
"2023-12-01","Not the best experience","Expensive and not clean. Service was below what I expected from a Starbucks reserved. I much prefer the Starbucks Reserve in Milan.","2"
"2023-11-22","Terrible customer service. Staff too 'cool for school' to even smile and say thanks!!","Been here the last time we were in NYC and weren't we in for a shock! Lovely cake and drinks, but the customer experience is shocking! Apart from one person who served me, everyone else behind the counter we spoke to were so rude. 
The lady who was calling out names barely engaged, just said; 'put the pager in the basket"". No please,  no thank you at all. I asked if I could have ice for our water and she ignored me, but must have said something to a colleague as I had ice in a cup put in front of me,  again with no comment or even a smile. 
We'd asked for water from two staff before and they just pointed to a counter and said; ""water's there"". 
I never normally write Trip Advisor reviews, but this 'so cool for school' behaviour of employees has incensed me! If you hate where you work, move on, no one is forcing you to do something you don't want to do. Let others with manners and at least a smile replace you!","3"
"2023-11-05","Not your Ordinary Starbucks!","Was this a Starbucks or a Disney theme park? So much going on from roasting, to a full bar and food. It was busy but efficient and a must see if in the area. ","3"
"2023-11-04","お土産探しに行くのもあり","Googleの斜め前、道を挟んでチェルシーマーケットの隣にあります。クリストファーから歩いて来て疲れたので休憩に入ってみました。建物は普通ですが、中は思ったよりずっと広くてきれい。焙煎エリア、バー、カフェ、パンやケーキピザ、お土産コーナーなど、どこもとても混んでいて、オーダーは並んで待っている間にQRコードでメニューが見られます。夕飯を食べる前というタイミングでしたが、ブリオッシュにプロシュートハムが挟んであるパンを１つ頼んでみたら、とても美味しかったです。それにコーヒーとソイラテを添えて日本円で4000円を超えてしまうのは、円安と物価高のニューヨークでは致し方なく、円換算せずに楽しみたいところ。
　お土産コーナーにNew York と書かれたアーチがあり、そこで記念写真を撮っている人もいました。地下にあるトイレもきれいなので、チェルシーマーケットに行かれるなら、カフェタイムはここですると良いと思います。","4"
"2023-10-24","Uno de los locales más lindos de Starbucks","Fuimos a conocer el primer local Starbucks reserve y nos encantó. Podemos ver cómo funcionan las máquinas tostadoras, tomar cafe y probar la pastelería que es más gourmet que en las sucursales tradicionales.
Tienen su propia línea de merchandising. La atención normal y los precios correctos.","4"
