seconds,time,air,beans,air_sp,power,power_sp,speed,coolfan_speed,stirrer_speed,pressure,pressure_fan_speed,pressure_sp,ror,ror_f,computed_air_ror,__filled,beans_clean,air_clean,beans_smooth,air_smooth
0.0,00:00,178.7,173.2,180,10,11,50,61,15616,99,19,100,1.4,26,-1.8,0,173.2,178.7,174.05225490196077,178.76725490196074
1.0,00:01,178.8,173.2,180,10,11,50,61,15616,96,19,100,5.5,99,1.9,0,173.2,178.8,172.9383893557423,178.86788515406164
2.0,00:02,178.8,172.3,180,10,11,50,61,15616,94,19,100,6.7,120,4.2,0,172.3,178.8,171.43695108812756,178.71048373195435
3.0,00:03,178.5,170.7,180,10,11,50,61,15616,94,19,100,2.2,40,4.3,0,170.7,178.5,169.5765977160095,178.30606119370833
4.0,00:04,177.9,167.4,180,10,11,50,61,15616,101,19,100,-8.1,-145,1.8,0,167.4,177.9,167.38598685628102,177.66562809739287
5.0,00:05,176.8,164.4,180,10,11,50,61,15616,103,19,100,-23.2,-417,-3.6,0,164.4,176.8,164.893776125835,176.8001950010774
6.0,00:06,175.3,160.9,180,11,11,50,61,15616,95,19,100,-42.0,-757,-11.6,0,160.9,175.3,162.1286231415644,175.72077246283135
7.0,00:07,173.6,157.2,180,11,11,50,61,15616,93,19,100,-62.4,-1123,-21.2,0,157.2,173.6,159.1191855203629,174.43837104072495
8.0,00:08,173.6,157.2,180,11,11,50,61,15616,93,19,100,-62.4,-1123,-21.2,0,157.2,173.6,155.76823529411854,172.9259728506797
9.0,00:09,171.7,153.3,180,11,11,50,61,15616,93,19,100,-80.2,-1444,-31.2,0,153.3,171.7,152.3101357466072,171.22208144796474
10.0,00:10,169.6,149.3,180,11,11,50,61,15616,94,20,100,-94.3,-1698,-40.8,0,149.3,169.6,148.78126696832663,169.3730316742091
11.0,00:11,167.4,145.3,180,11,11,50,61,15616,94,20,100,-105.2,-1893,-49.1,0,145.3,167.4,145.2217194570144,167.40352941176562
12.0,00:12,165.2,141.3,180,11,11,50,61,15616,94,20,100,-112.7,-2028,-55.6,0,141.3,165.2,141.52162895927682,165.34099547511403
13.0,00:13,163.0,137.4,180,11,11,50,61,15616,95,20,100,-117.1,-2107,-60.2,0,137.4,163.0,137.73855203619985,163.18425339366607
14.0,00:14,160.8,133.5,180,11,11,50,61,15616,96,20,100,-119.4,-2149,-63.2,0,133.5,160.8,133.84027149321344,160.96841628959368
15.0,00:15,158.6,129.8,180,11,11,50,61,15616,96,20,100,-120.1,-2161,-65.0,0,129.8,158.6,129.8173755656116,158.61864253393753
16.0,00:16,156.4,126.1,180,11,11,50,61,15616,96,20,100,-119.2,-2145,-65.8,0,126.1,156.4,126.17846153846224,156.40651583710493
17.0,00:17,154.2,122.6,180,11,11,50,61,15616,95,20,100,-117.2,-2110,-66.0,0,122.6,154.2,122.66805429864323,154.221809954752
18.0,00:18,152.1,119.3,180,11,11,50,61,15616,97,20,100,-114.7,-2064,-65.8,0,119.3,152.1,119.35565610859794,152.08479638009135
19.0,00:19,150.1,116.1,180,11,11,50,61,15616,98,20,100,-111.4,-2005,-65.1,0,116.1,150.1,116.14217194570199,150.01058823529493
20.0,00:20,148.2,113.0,180,11,11,50,61,15616,98,21,100,-107.5,-1935,-63.8,0,113.0,148.2,113.04977375565673,148.00090497737636
21.0,00:21,145.8,110.1,180,11,11,50,61,15616,98,21,100,-98.9,-1781,-63.3,0,110.1,145.8,110.0831674208151,146.07701357466144
22.0,00:22,144.1,107.3,180,11,11,50,61,15616,99,21,100,-94.3,-1697,-62.3,0,107.3,144.1,107.23547511312276,144.25203619909584
23.0,00:23,142.4,104.7,180,11,11,50,61,15616,99,21,100,-89.8,-1616,-60.9,0,104.7,142.4,104.53529411764764,142.5168325791863
24.0,00:24,140.9,102.3,180,11,11,50,61,15616,100,21,100,-85.3,-1535,-58.1,0,102.3,140.9,101.9648868778286,140.8800000000008
25.0,00:25,139.4,99.2,180,11,11,50,61,15616,99,21,100,-80.7,-1453,-55.5,0,99.2,139.4,99.54199095022679,139.33312217194648
26.0,00:26,137.9,97.1,180,11,11,50,61,15616,101,21,100,-76.4,-1375,-51.7,0,97.1,137.9,97.2657013574666,137.87755656108675
27.0,00:27,136.6,95.0,180,11,11,50,61,15616,101,21,100,-72.2,-1300,-48.3,0,95.0,136.6,95.13737556561139,136.52443438914105
28.0,00:28,135.3,93.1,180,11,11,50,61,15616,101,21,100,-68.0,-1225,-45.0,0,93.1,135.3,93.1609049773761,135.27466063348493
29.0,00:29,134.0,91.4,180,11,11,50,61,15616,99,21,100,-63.9,-1151,-43.0,0,91.4,134.0,91.33656108597336,134.0496832579193
30.0,00:30,132.9,89.7,180,11,11,50,61,15616,98,21,100,-60.2,-1083,-41.0,0,89.7,132.9,89.65484162895979,132.90162895927676
31.0,00:31,131.8,88.2,220,11,11,50,61,15616,99,21,100,-56.3,-1014,-38.9,0,88.2,131.8,88.11031674208195,131.82416289592834
32.0,00:32,130.8,86.7,220,11,11,50,61,15616,100,21,100,-52.7,-948,-36.7,0,86.7,130.8,86.72959276018148,130.82253393665232
33.0,00:33,129.9,85.4,220,11,11,50,61,15616,100,21,100,-49.1,-883,-34.5,0,85.4,129.9,85.38669683257967,129.90063348416362
34.0,00:34,129.0,84.2,220,11,11,50,61,15616,101,21,100,-45.8,-824,-32.3,0,84.2,129.0,84.14950226244392,129.0271493212677
35.0,00:35,128.2,83.0,220,11,11,50,61,15616,99,21,100,-42.5,-765,-30.1,0,83.0,128.2,83.0026244343896,128.2100452488695
36.0,00:36,127.5,81.9,220,11,11,50,61,15616,100,21,100,-39.5,-711,-28.0,0,81.9,127.5,81.94570135746653,127.44886877828125
37.0,00:37,126.8,80.9,220,11,11,50,61,15616,101,21,100,-36.6,-658,-26.0,0,80.9,126.8,80.96696832579231,126.73502262443509
38.0,00:38,126.1,80.1,220,11,11,50,61,15616,101,21,100,-33.9,-610,-24.2,0,80.1,126.1,80.05031674208189,126.07239819004596
39.0,00:39,125.5,79.2,220,11,11,50,61,15616,101,21,100,-31.3,-563,-22.5,0,79.2,125.5,79.20941176470632,125.46443438914096
40.0,00:40,124.8,78.5,220,11,11,50,61,15616,99,21,100,-28.8,-518,-21.4,0,78.5,124.8,78.43384615384659,124.90117647058892
41.0,00:41,124.3,77.8,220,11,11,50,61,15616,99,21,100,-26.4,-476,-20.1,0,77.8,124.3,77.72389140271537,124.38696832579255
42.0,00:42,123.9,77.1,220,11,11,50,61,15616,101,21,100,-24.2,-435,-18.9,0,77.1,123.9,77.08434389140314,123.90660633484232
43.0,00:43,123.5,76.4,220,11,11,50,61,15616,101,21,100,-22.2,-399,-17.3,0,76.4,123.5,76.4977375565615,123.4733031674215
44.0,00:44,123.1,75.9,220,11,11,50,61,15616,100,21,100,-20.2,-364,-15.8,0,75.9,123.1,75.9652488687787,123.08162895927671
45.0,00:45,122.8,75.5,220,11,11,50,61,15616,100,21,100,-18.4,-332,-14.1,0,75.5,122.8,75.47963800905019,122.72841628959344
46.0,00:46,122.4,75.1,220,11,11,50,61,15616,99,21,100,-16.6,-299,-12.6,0,75.1,122.4,75.06705882352983,122.39891402715
47.0,00:47,122.1,74.7,220,11,11,50,61,15616,101,21,100,-15.0,-270,-11.4,0,74.7,122.1,74.6923076923081,122.10063348416357
48.0,00:48,121.8,74.4,220,11,11,50,61,15616,100,21,100,-13.3,-240,-10.7,0,74.4,121.8,74.38153846153888,121.81565610859796
49.0,00:49,121.6,74.1,220,11,11,50,61,15616,100,21,100,-11.9,-214,-10.0,0,74.1,121.6,74.1275113122176,121.5553846153853
50.0,00:50,121.3,73.9,220,11,11,50,61,15616,101,21,100,-10.5,-189,-9.4,0,73.9,121.3,73.91049773755697,121.32733031674275
51.0,00:51,121.1,73.7,220,11,11,50,61,15616,100,20,100,-9.2,-165,-8.6,0,73.7,121.1,73.71828054298685,121.12923076923144
52.0,00:52,120.9,73.6,220,11,11,50,61,15616,101,20,100,-7.8,-141,-7.8,0,73.6,120.9,73.55294117647101,120.94904977375633
53.0,00:53,120.8,73.4,220,11,11,50,61,15616,101,20,100,-6.7,-120,-7.0,0,73.4,120.8,73.42470588235336,120.80588235294184
54.0,00:54,120.7,73.4,220,11,11,50,61,15616,100,20,100,-5.5,-100,-6.2,0,73.4,120.7,73.33927601809995,120.67520361991016
55.0,00:55,120.6,73.3,220,11,11,50,61,15616,100,20,100,-4.5,-80,-5.4,0,73.3,120.6,73.27782805429906,120.56361990950293
56.0,00:56,120.5,73.2,220,11,11,50,61,15616,100,20,100,-3.5,-63,-4.7,0,73.2,120.5,73.24470588235334,120.46796380090565
57.0,00:57,120.4,73.2,220,11,11,50,61,15616,99,20,100,-2.7,-48,-4.0,0,73.2,120.4,73.22651583710447,120.39619909502329
58.0,00:58,120.3,73.2,220,11,11,50,61,15616,100,20,100,-1.7,-31,-3.3,0,73.2,120.3,73.24009049773798,120.33357466063414
59.0,00:59,120.3,73.3,220,11,11,50,61,15616,101,20,100,-1.0,-18,-2.8,0,73.3,120.3,73.27158371040765,120.28352941176537
60.0,01:00,120.2,73.4,220,11,11,50,61,15616,102,20,100,-0.2,-3,-2.4,0,73.4,120.2,73.33828054298684,120.23357466063415
61.0,01:01,120.2,73.4,220,11,11,50,61,15616,100,20,100,0.5,9,-2.0,0,73.4,120.2,73.41384615384656,120.20325791855271
62.0,01:02,120.2,73.5,220,11,11,50,61,15616,99,20,100,1.2,21,-1.5,0,73.5,120.2,73.51692307692349,120.1832579185527
63.0,01:03,120.2,73.6,220,11,11,50,61,15616,101,20,100,1.9,33,-1.1,0,73.6,120.2,73.63638009049815,120.17628959276084
64.0,01:04,120.2,73.8,220,11,11,50,61,15616,100,20,100,2.4,44,-0.7,0,73.8,120.2,73.7654298642538,120.1832579185527
65.0,01:05,120.2,73.9,220,11,11,50,61,15616,100,20,100,2.9,52,-0.4,0,73.9,120.2,73.90841628959316,120.21031674208211
66.0,01:06,120.2,74.1,220,11,11,50,61,15616,101,20,100,3.4,62,-0.1,0,74.1,120.2,74.06081447963842,120.23475113122238
67.0,01:07,120.3,74.2,220,11,11,50,61,15616,100,20,100,3.9,70,0.1,0,74.2,120.3,74.22307692307733,120.2726696832586
